Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,1.52446181618943,-0.997927319427029,0.779288980020794,0,0,0,3.04333806863242,0.0238836737665865,-2.16817249258798E-10,-2.1616288754832E-10,0.0215677785302539,3.67172099082066E-06,0.00487001504067627,0,0,0,0,0,0,package://rover - Copy/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://rover - Copy/meshes/base_link.STL,,frame-1;rocker_bogie_final-1/middle plate-3;suspension holder-1;suspension holder pin plate-2;rocker_bogie_final - Copy-1/middle plate-3,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
differential bar,2.22044604925031E-16,-0.0100000000000005,0.002,0,0,0,0.0474807987372038,0.000483029278578535,-1.14206511069481E-18,6.11494125822057E-22,4.79317853382557E-06,1.94115872485017E-20,0.000487695841649061,0,0,0,0,0,0,package://rover - Copy/meshes/differential bar.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://rover - Copy/meshes/differential bar.STL,,diffrential rod-1,Origin_diff-frame2,Axis5,diff-frame,fixed,1.5147,-1.1102,0.69786,-1.5708,-1.5491,3.1416,base_link,0,0,0,,,,,,,,,,,,
heim left,0.00399777700299953,-0.0139258458772979,0.0390996359595351,0,0,0,0.0112264754083427,1.7900427794758E-06,-2.55958567206114E-08,-1.08239427379801E-07,1.81603930894451E-06,-3.65879034681831E-08,4.02424913752861E-07,0,0,0,0,0,0,package://rover - Copy/meshes/heim left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://rover - Copy/meshes/heim left.STL,,8mm ball joint-4/Ball mounting part-1;8mm ball joint-6/Ball mounting part-1;8mm ball joint-6/ball with 8mm hole-1;8mm ball joint-4/ball with 8mm hole-1,Origin_heim-diff-left2,Axis12,heim-diff-left,revolute,-0.00055361,0.15854,0.0095369,1.558,-0.30526,1.4281,differential bar,0.30054,0.95369,0.012163,0,0,0,0,,,,,,,,
rocker left,-0.101769211447349,-0.400091761068328,-0.0181044969873356,0,0,0,1.55308186603355,0.003636747730157,-0.00153554542218091,-3.10266838967842E-08,0.00425273911810212,-4.84501364931254E-08,0.00742877037024787,0,0,0,0,0,0,package://rover - Copy/meshes/rocker left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://rover - Copy/meshes/rocker left.STL,,rocker_bogie_final-1/coupler-1 sided-2;rocker_bogie_final-1/middle plate-1;rocker_bogie_final-1/hexagonal_spacer_MF_M5_H20_HEX8_FTD8_MTL8-5;rocker_bogie_final-1/ball bearing holder-4;rocker_bogie_final-1/hexagonal_spacer_MF_M5_H20_HEX8_FTD8_MTL8-8;rocker_bogie_final-1/hexagonal_spacer_MF_M5_H20_HEX8_FTD8_MTL8-9;rocker_bogie_final-1/Mega Torque Planetary DC Geared Motor 250W 300RPM 18VDC-1;rocker_bogie_final-1/coupler-1 sided-3;rocker_bogie_final-1/bearing end plate-2;rocker_bogie_final-1/Aluminium Extrusion 2040 V-Slot - 300-1;rocker_bogie_final-1/middle plate-2;rocker_bogie_final-1/coupler plate 40x20-2;rocker_bogie_final-1/coupler plate 40x20-1;rocker_bogie_final-1/ball bearing holder-3;rocker_bogie_final-1/hexagonal_spacer_MF_M5_H20_HEX8_FTD8_MTL8-1;rocker_bogie_final-1/hexagonal_spacer_MF_M5_H20_HEX8_FTD8_MTL8-2;rocker_bogie_final-1/hexagonal_spacer_MF_M5_H20_HEX8_FTD8_MTL8-3;rocker_bogie_final-1/bearing end plate-3;rocker_bogie_final-1/coupler_1-1;rocker_bogie_final-1/coupler_1-2;rocker_bogie_final-1/hexagonal_spacer_MF_M5_H12_HEX8_FTD8_MTL8-1;rocker_bogie_final-1/ball bearing holder-6;rocker_bogie_final-1/hexagonal_spacer_MF_M5_H12_HEX8_FTD8_MTL8-2;rocker_bogie_final-1/middle plate-3;suspension holder pin plate-2;rocker_bogie_final-1/rocker middle plate-1;rocker_bogie_final-1/Aluminium Extrusion 2040 V-Slot-2;rocker_bogie_final-1/rocker back plate-1;rocker_bogie_final-1/rocker front plate-1;rocker_bogie_final-1/Aluminum Spacer 40mm-3;rocker_bogie_final-1/Aluminum Spacer 40mm-4;rocker_bogie_final-1/Aluminum Spacer 40mm-1;rocker_bogie_final-1/Aluminum Spacer 40mm-2,Origin_heim - rocker - left2,Axis13,heim - rocker - left,revolute,0.0081848,-0.29419,0.43833,1.7064,-0.40189,1.2137,heim left,0,0,1,0,0,0,0,,,,,,,,
bogie left,0.00995979317404827,-0.0940648555478307,-0.00718273182388107,0,0,0,0.855578253084605,0.000723327152604923,-5.01093684904813E-05,2.22854539590108E-08,0.00112649824092157,-6.50919043959369E-08,0.00100785901771419,0,0,0,0,0,0,package://rover - Copy/meshes/bogie left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://rover - Copy/meshes/bogie left.STL,,rocker_bogie_final-1/coupler plate 40x20-3;rocker_bogie_final-1/hexagonal_spacer_MF_M5_H20_HEX8_FTD8_MTL8-10;rocker_bogie_final-1/ball bearing holder-5;rocker_bogie_final-1/hexagonal_spacer_MF_M5_H20_HEX8_FTD8_MTL8-11;rocker_bogie_final-1/hexagonal_spacer_MF_M5_H20_HEX8_FTD8_MTL8-12;rocker_bogie_final-1/bearing end plate-1;rocker_bogie_final-1/coupler plate 40x20-4;rocker_bogie_final-1/Aluminium Extrusion 2040 V-Slot - 150-2;rocker_bogie_final-1/Aluminium Extrusion 2040 V-Slot - 150-1;rocker_bogie_final-1/Mega Torque Planetary DC Geared Motor 250W 300RPM 18VDC-3;rocker_bogie_final-1/Aluminum Spacer 40mm-9;rocker_bogie_final-1/bogie back plate-2;rocker_bogie_final-1/Aluminum Spacer 40mm-12;rocker_bogie_final-1/Aluminum Spacer 40mm-11;rocker_bogie_final-1/bogie middle plate-2;rocker_bogie_final-1/bogie front plate-2;rocker_bogie_final-1/bogie front plate-1;rocker_bogie_final-1/Mega Torque Planetary DC Geared Motor 250W 300RPM 18VDC-2;rocker_bogie_final-1/bogie middle plate-1;rocker_bogie_final-1/Aluminum Spacer 40mm-6;rocker_bogie_final-1/Aluminum Spacer 40mm-5;rocker_bogie_final-1/Aluminum Spacer 40mm-7;rocker_bogie_final-1/bogie back plate-1;rocker_bogie_final-1/Aluminum Spacer 40mm-8;rocker_bogie_final-1/Aluminum Spacer 40mm-10,Origin_rock-bogie-left2,Axis2,rock-bogie-left,revolute,0.0089869,-0.0043858,0.015,0,0,-2.0248,rocker left,0,0,-1,0,0,0,0,,,,,,,,
front wheel left,-9.22246665702176E-08,-0.0590967157995692,3.33299588151093E-07,0,0,0,0.698737792866941,0.00277832741057818,-2.10339195966261E-18,-1.33502730354992E-12,0.00528093658735557,-1.14135299396467E-19,0.00277832740968986,0,0,0,0,0,0,package://rover - Copy/meshes/front wheel left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://rover - Copy/meshes/front wheel left.STL,,Wheel assembly left-4/Star plate-1;Wheel assembly left-4/Wheel left-1;Wheel assembly left-4/Wheel right-1;Wheel assembly left-4/Coupler-2,Origin_bogie-front wheel2,Axis11,bogie-front wheel,revolute,-0.17825,-0.15727,0.023625,-1.5708,0,-2.8418,bogie left,0,-1,0,0,0,0,0,,,,,,,,
middle wheel left,1.74554524501325E-07,-0.0100002985376392,-0.049096715799569,0,0,0,0.698737792866942,0.00277832740878736,4.07575706583112E-13,1.33500859860989E-18,0.00277832741148068,6.74780298436579E-19,0.00528093658735559,0,0,0,0,0,0,package://rover - Copy/meshes/middle wheel left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://rover - Copy/meshes/middle wheel left.STL,,Wheel assembly left-5/Wheel left-1;Wheel assembly left-5/Star plate-1;Wheel assembly left-5/Wheel right-1;Wheel assembly left-5/Coupler-2,Origin_middle wheel- bogie2,Axis10,middle wheel- bogie,revolute,0.22853,-0.091522,0.033625,-3.1416,0,1.5619,bogie left,0,0,-1,0,0,0,0,,,,,,,,
back wheel - left,2.99492075028773E-07,-0.0590967157995688,1.72911832407863E-07,0,0,0,0.698737792866942,0.00277832740909722,-1.17057138895392E-18,9.51121776823771E-13,0.00528093658735559,-2.07754122648114E-19,0.00277832741117083,0,0,0,0,0,0,package://rover - Copy/meshes/back wheel - left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://rover - Copy/meshes/back wheel - left.STL,,Wheel assembly left-6/Star plate-1;Wheel assembly left-6/Wheel left-1;Wheel assembly left-6/Wheel right-1;Wheel assembly left-6/Coupler-2,Origin_rocker-back wheel2,Axis9,rocker-back wheel,revolute,-0.42714,-0.63111,0.038625,-1.5708,0,-3.0054,rocker left,0,-1,0,0,0,0,0,,,,,,,,
heim right,-0.000692089156595577,-0.0106201060072408,-6.98947411059692E-09,0,0,0,0.0112264797906877,1.8121284076859E-06,3.57751039766993E-09,1.26524363133629E-10,1.81235851038907E-06,-1.32133207594304E-09,3.84020384712546E-07,0,0,0,0,0,0,package://rover - Copy/meshes/heim right.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://rover - Copy/meshes/heim right.STL,,8mm ball joint-1/Ball mounting part-1;8mm ball joint-5/Ball mounting part-1;8mm ball joint-1/ball with 8mm hole-1;8mm ball joint-5/ball with 8mm hole-1,Origin_diff- heim joint2,Axis14,diff- heim joint,revolute,0.036851,-0.18281,-0.012026,-1.462,-0.051046,-1.5981,differential bar,0.051024,-0.9928,0.10839,0,0,0,0,,,,,,,,
rocker right,0.0291986587428188,-0.0745869235451064,-0.0809711861614528,0,0,0,1.533840369184,0.0074200731544615,3.88200083491104E-08,-2.72149184938052E-08,0.00276555657249586,-0.00103485933661107,0.00511457568394412,0,0,0,0,0,0,package://rover - Copy/meshes/rocker right.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://rover - Copy/meshes/rocker right.STL,,rocker_bogie_final - Copy-1/coupler_1-2;rocker_bogie_final - Copy-1/ball bearing holder-6;rocker_bogie_final - Copy-1/hexagonal_spacer_MF_M5_H12_HEX8_FTD8_MTL8.step-2;rocker_bogie_final - Copy-1/hexagonal_spacer_MF_M5_H12_HEX8_FTD8_MTL8.step-1;rocker_bogie_final - Copy-1/hexagonal_spacer_MF_M5_H12_HEX8_FTD8_MTL8.step-3;rocker_bogie_final - Copy-1/coupler_1-1;rocker_bogie_final - Copy-1/coupler plate 40x20-1;rocker_bogie_final - Copy-1/ball bearing holder-3;rocker_bogie_final - Copy-1/hexagonal_spacer_MF_M5_H20_HEX8_FTD8_MTL8.step-2;rocker_bogie_final - Copy-1/hexagonal_spacer_MF_M5_H20_HEX8_FTD8_MTL8.step-3;rocker_bogie_final - Copy-1/hexagonal_spacer_MF_M5_H20_HEX8_FTD8_MTL8.step-1;rocker_bogie_final - Copy-1/coupler plate 40x20-2;rocker_bogie_final - Copy-1/bearing end plate-3;rocker_bogie_final - Copy-1/Aluminium Extrusion 2040 V-Slot - 300-1;rocker_bogie_final - Copy-1/Aluminium Extrusion 2040 V-Slot-2;rocker_bogie_final - Copy-1/rocker back plate-1;rocker_bogie_final - Copy-1/Mega Torque Planetary DC Geared Motor 250W 300RPM 18VDC-1;rocker_bogie_final - Copy-1/rocker middle plate-1;rocker_bogie_final - Copy-1/Aluminum Spacer 40mm-2;rocker_bogie_final - Copy-1/Aluminum Spacer 40mm-3;rocker_bogie_final - Copy-1/Aluminum Spacer 40mm-4;rocker_bogie_final - Copy-1/rocker front plate-1;rocker_bogie_final - Copy-1/middle plate-2;rocker_bogie_final - Copy-1/middle plate-1;rocker_bogie_final - Copy-1/coupler-1 sided-2;rocker_bogie_final - Copy-1/ball bearing holder-4;rocker_bogie_final - Copy-1/hexagonal_spacer_MF_M5_H20_HEX8_FTD8_MTL8.step-9;rocker_bogie_final - Copy-1/coupler-1 sided-3;rocker_bogie_final - Copy-1/bearing end plate-2;rocker_bogie_final - Copy-1/hexagonal_spacer_MF_M5_H20_HEX8_FTD8_MTL8.step-8;rocker_bogie_final - Copy-1/hexagonal_spacer_MF_M5_H20_HEX8_FTD8_MTL8.step-5,Origin_heim-rocker-right2,Axis15,heim-rocker-right,revolute,-0.018529,0.10777,0.048641,1.5928,0,0.051349,heim right,1,0,0,0,0,0,0,,,,,,,,
